last contact date,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,target
2009-04-17,26,blue-collar,married,secondary,no,647,yes,no,cellular,357,2,331,1,other,no
2009-10-11,52,technician,married,secondary,no,553,yes,no,telephone,160,1,-1,0,,no
2010-11-20,44,blue-collar,married,secondary,no,1397,no,no,cellular,326,1,-1,0,,no
2009-09-01,33,admin.,married,secondary,no,394,yes,no,telephone,104,3,-1,0,,no
2008-01-29,31,entrepreneur,single,tertiary,no,137,no,no,cellular,445,2,-1,0,,no
2009-05-07,25,entrepreneur,single,tertiary,no,140,yes,no,cellular,348,1,-1,0,,no
2009-05-15,46,blue-collar,married,secondary,no,668,yes,no,,1263,2,-1,0,,yes
2010-05-08,37,admin.,married,secondary,no,14,yes,no,,176,2,-1,0,,no
2008-12-13,38,unemployed,divorced,primary,yes,14123,yes,yes,cellular,2370,4,852,4,other,no
2010-05-21,31,technician,married,secondary,no,589,yes,yes,,151,1,-1,0,,no
2008-08-19,32,management,single,tertiary,no,1625,yes,no,cellular,451,6,-1,0,,no
2009-05-15,46,management,single,secondary,no,244,yes,no,,244,1,-1,0,,no
2009-12-28,38,entrepreneur,divorced,tertiary,yes,50281,no,yes,cellular,4575,45,661,143,failure,yes
2008-07-07,31,services,married,secondary,no,132,no,no,cellular,148,1,152,1,other,no
2008-05-07,33,management,single,tertiary,no,54,no,no,,262,2,-1,0,,no
2009-05-06,28,technician,single,tertiary,no,875,yes,no,cellular,55,1,-1,0,,no
2009-04-07,25,admin.,single,secondary,no,82,no,yes,cellular,104,2,-1,0,,yes
2009-05-20,37,blue-collar,married,secondary,no,32,yes,no,,146,2,-1,0,,no
2010-06-06,34,blue-collar,married,secondary,no,291,yes,no,,111,5,-1,0,,no
2009-10-30,86,student,divorced,primary,yes,22272,no,no,cellular,283,44,599,234,success,no
2009-05-14,42,blue-collar,single,primary,no,22,yes,no,cellular,116,4,365,1,failure,no
2008-06-12,58,admin.,married,secondary,no,826,no,no,,885,1,-1,0,,yes
2010-07-28,39,blue-collar,married,secondary,no,1439,yes,no,telephone,73,6,-1,0,,no
2008-07-03,35,blue-collar,married,,no,-400,yes,yes,,85,1,-1,0,,no
2009-07-30,39,self-employed,single,tertiary,no,3972,no,no,cellular,122,3,-1,0,,no
2009-05-05,47,blue-collar,married,,no,1506,yes,no,,92,1,-1,0,,no
2009-08-06,45,blue-collar,married,secondary,no,333,no,yes,cellular,166,2,-1,0,,no
2009-05-14,44,admin.,single,secondary,no,275,yes,no,cellular,7,5,367,4,failure,no
2009-07-25,48,self-employed,divorced,tertiary,no,103,no,yes,cellular,135,1,-1,0,,no
2010-07-25,32,technician,single,secondary,no,4069,yes,no,cellular,273,1,-1,0,,no
2009-01-27,48,admin.,divorced,secondary,no,1180,no,no,cellular,142,1,238,3,other,yes
2008-07-17,30,blue-collar,married,primary,no,135,yes,no,telephone,268,5,-1,0,,no
2008-08-21,50,management,married,tertiary,no,0,no,no,cellular,89,2,-1,0,,no
2009-11-17,56,management,single,primary,no,109,no,yes,telephone,124,1,129,18,other,no
2008-07-18,26,blue-collar,married,primary,no,256,yes,no,cellular,169,2,-1,0,,no
2010-04-20,54,blue-collar,married,primary,no,489,yes,yes,cellular,280,4,287,3,other,no
2010-08-13,32,technician,married,secondary,no,-413,yes,no,cellular,100,2,-1,0,,no
2010-11-19,40,blue-collar,married,secondary,no,1708,yes,no,cellular,382,2,174,1,other,no
2009-02-05,26,student,single,,no,198,no,no,cellular,161,1,-1,0,,no
2009-09-30,53,admin.,married,secondary,no,109,no,no,telephone,431,1,120,1,success,no
2009-07-25,39,admin.,divorced,secondary,no,2903,yes,yes,telephone,259,2,-1,0,,no
2008-06-04,41,technician,single,,no,454,yes,no,,267,2,-1,0,,no
2008-05-15,42,services,married,secondary,no,1370,yes,no,cellular,36,2,-1,0,,no
2010-05-12,48,admin.,divorced,secondary,no,162,yes,no,cellular,83,1,368,4,failure,no
2008-05-26,51,services,married,secondary,no,53,yes,no,,140,2,-1,0,,no
2010-04-01,27,technician,single,tertiary,no,393,no,no,cellular,165,2,-1,0,,yes
2008-05-18,29,services,single,secondary,no,23,yes,yes,cellular,159,3,371,2,other,no
2009-05-15,33,blue-collar,single,primary,no,433,yes,no,cellular,54,4,-1,0,,no
2010-05-09,29,admin.,single,secondary,yes,-228,yes,no,,279,1,-1,0,,no
2010-11-12,57,unemployed,married,secondary,no,2299,no,no,cellular,39,3,-1,0,,no
2010-07-02,30,admin.,married,tertiary,no,1717,no,yes,,218,2,-1,0,,no
2008-05-21,38,blue-collar,single,primary,no,-5,yes,no,,30,12,-1,0,,no
2009-05-15,37,admin.,single,secondary,no,309,yes,no,cellular,58,3,-1,0,,no
2008-01-02,63,entrepreneur,divorced,tertiary,no,93719,no,yes,cellular,2374,61,187,225,other,yes
2009-02-04,42,blue-collar,married,primary,no,454,yes,no,cellular,23,3,-1,0,,no
2008-11-10,48,admin.,married,secondary,no,178,no,no,cellular,228,1,-1,0,,no
